data,hora,titulo,descricao,local,duracao,tipo,imagem
17/09/2026,10:00,UTMB EXPO,Exposição aberta ao público e atletas para explorar novidades e produtos das marcas parceiras.,EXPO,39600,entretenimento,expo_main
17/09/2026,10:00,Retirada de Kits / Bib Pick-up,Momento para os atletas das provas retirarem seus kits de participação.,EXPO,39600,esporte,kit_retrieval
17/09/2026,10:30,Ativação Yopp - Yoga & Alongamento,Sessão revigorante de yoga e alongamento pré-prova com a Yopp para relaxar corpo e mente. (Horário a confirmar),EXPO,1800,ativacao,activation_yopp
17/09/2026,11:00,Podcast Montanhista,"Episódio inaugural do podcast oficial do evento, ao vivo da Expo. (Horário a confirmar)",EXPO,3600,entretenimento,podcast_cover
17/09/2026,13:00,Podcast Convidado Elite,Bate-papo com atleta de elite e convidados sobre o universo trail. (Horário a confirmar),EXPO,3600,entretenimento,podcast_cover
17/09/2026,15:00,Sessão de Autógrafos,Oportunidade para fãs encontrarem e pegarem autógrafos de atletas de elite e personalidades. (Horário a confirmar),EXPO,3600,entretenimento,autographs_main
17/09/2026,16:00,Abertura Oficial / Official Opening,Cerimônia oficial de boas-vindas aos atletas e início do evento.,EXPO,,esporte,opening_official
17/09/2026,17:30,Briefing Técnico / Technical Briefing PTR 108,Instruções técnicas e de segurança obrigatórias para atletas da PTR 108.,EXPO,1800,esporte,briefing_cover
17/09/2026,18:30,Podcast Fernanda Maciel,Fernanda Maciel comanda o podcast com temas globais do esporte e convidados especiais. (Horário a confirmar),EXPO,3600,entretenimento,podcast_cover
18/09/2026,7:30,Treinão Mombora,Treino coletivo leve e aquecimento com a Mombora para começar o dia. (Horário a confirmar),EXPO,1800,ativacao,training_mombora
18/09/2026,10:00,UTMB EXPO,"Segundo dia da Expo, com mais novidades, produtos e interações.",EXPO,39600,entretenimento,expo_main
18/09/2026,10:00,Retirada de Kits / Bib Pick-up,Retirada de kits das provas (verificar horários limite por prova).,EXPO,39600,esporte,kit_retrieval
18/09/2026,10:30,Ativação Hoka - Experimentação e Dicas,Teste os últimos lançamentos da Hoka e receba dicas de corrida dos especialistas da marca. (Horário a confirmar),EXPO,1800,ativacao,activation_hoka
18/09/2026,12:00,Apresentação Atletas de Elite / Elite Athlete Presentation,Conheça os principais atletas de elite que competirão no evento.,EXPO,,esporte,elite_athletes
18/09/2026,13:00,Briefing Técnico / Technical Briefing PTR 58,Instruções técnicas e de segurança obrigatórias para atletas da PTR 58.,EXPO,1800,esporte,briefing_cover
18/09/2026,13:30,Briefing Técnico / Technical Briefing PTR 34,Instruções técnicas e de segurança obrigatórias para atletas da PTR 34.,EXPO,1800,esporte,briefing_cover
18/09/2026,14:00,Briefing Técnico / Technical Briefing PTR 25,Instruções técnicas e de segurança obrigatórias para atletas da PTR 25.,EXPO,1800,esporte,briefing_cover
18/09/2026,14:30,Briefing Técnico / Technical Briefing PTR 17,Instruções técnicas e de segurança obrigatórias para atletas da PTR 17.,EXPO,1800,esporte,briefing_cover
18/09/2026,16:00,Exibição Filme: Projeto Caiçara,Documentário especial sobre o Projeto Caiçara e sua conexão com a cultura local e o trail. (Horário a confirmar),EXPO,3600,entretenimento,film_caicara
18/09/2026,19:00,Largada / Start PTR 108,"Início da ultramaratona PTR 108, a prova rainha do evento, na Arena UTMB.",ARENA,,esporte,start_ptr108
19/09/2026,5:00,Largada / Start PTR 58,Início da desafiadora prova PTR 58 na Arena UTMB.,ARENA,,esporte,start_ptr58
19/09/2026,6:00,Largada / Start PTR 34,Início da prova de média distância PTR 34 na Arena UTMB.,ARENA,,esporte,start_ptr34
19/09/2026,8:00,Largada / Start PTR 25,Início da prova PTR 25 na Arena UTMB.,ARENA,,esporte,start_ptr25
19/09/2026,10:00,UTMB EXPO,Expo aberta na Arena UTMB durante o dia das provas.,EXPO,36000,entretenimento,expo_main
19/09/2026,10:00,Retirada de Kits / Bib Pick-up,Último dia para retirada de kits das provas (verificar horários limite por prova).,EXPO,39600,esporte,kit_retrieval
19/09/2026,14:00,Largada / Start PTR 17,"Início da prova PTR 17, com largada na Fazenda Bananal.",FAZENDA BANANAL,,esporte,start_ptr17
19/09/2026,15:00,Limite / Limit PTR 25,Horário limite de chegada (tempo de corte) da PTR 25 na Arena UTMB.,ARENA,,esporte,limit_cover
19/09/2026,16:00,Limite / Limit PTR 34,Horário limite de chegada (tempo de corte) da PTR 34 na Arena UTMB.,ARENA,,esporte,limit_cover
19/09/2026,17:00,Banda Marcial,Apresentação especial da Banda Marcial de Paraty animando a Arena. (Horário a confirmar),ARENA,3600,entretenimento,show_bandamarcial
19/09/2026,18:00,Exibição Filme: Histórias do Trail,Seleção de curtas e documentários sobre histórias marcantes do trail running mundial. (Horário a confirmar),EXPO,3600,entretenimento,film_trail_stories
19/09/2026,18:30,Limite / Limit PTR 17,Horário limite de chegada (tempo de corte) da PTR 17 na Arena UTMB.,ARENA,,esporte,limit_cover
19/09/2026,21:00,Limite / Limit PTR 58,Horário limite de chegada (tempo de corte) da PTR 58 na Arena UTMB.,ARENA,,esporte,limit_cover
20/09/2026,1:00,Limite / Limit PTR 108,Horário limite de chegada (tempo de corte) da PTR 108 na Arena UTMB.,ARENA,,esporte,limit_cover
20/09/2026,7:00,Largada / Start RUN 7,"Participe da prova festiva de 7km, aberta a todos os níveis, largando da Arena UTMB.",ARENA,,esporte,start_run7
20/09/2026,9:00,Corrida Kids,Corrida infantil para os pequenos atletas se divertirem e experimentarem o trail na Arena UTMB.,ARENA,,esporte,kids_race
20/09/2026,10:00,UTMB EXPO,Últimas horas para visitar a Expo na Arena UTMB.,EXPO,14400,entretenimento,expo_main
20/09/2026,10:30,Premiação / Award Ceremony,Cerimônia de reconhecimento e premiação dos vencedores de todas as categorias.,EXPO,5400,esporte,awards_ceremony
20/09/2026,12:00,Encerramento / Closing Ceremony,Cerimônia oficial de encerramento do Paraty Brazil by UTMB 2026.,EXPO,7200,esporte,closing_ceremony
